,Citation_Difference
2724,1005.0
451647,934.0
673261,585.0
3821,477.0
201469,458.0
83610,413.0
50008,413.0
374999,350.0
796887,342.0
374836,331.0
119944,297.0
810300,284.0
153246,277.0
165002,275.0
712925,266.0
152234,255.0
642540,255.0
64534,255.0
779080,248.0
277634,224.0
1126428,223.0
593382,220.0
1243402,216.0
130411,212.0
335335,204.0
568636,189.0
554668,183.0
32868,180.0
13732,172.0
875948,170.0
10349,167.0
142325,163.0
919443,162.0
110056,162.0
300582,162.0
1124337,161.0
5943,160.0
1124338,159.0
455057,157.0
153485,152.0
342824,152.0
209828,150.0
155854,150.0
925379,145.0
253723,144.0
1315584,143.0
129457,138.0
140129,136.0
51320,136.0
447577,133.0
581996,133.0
18134,130.0
248933,130.0
7593,128.0
118681,116.0
468837,115.0
861245,113.0
861954,113.0
141214,112.0
912611,111.0
170215,110.0
313897,108.0
418649,108.0
357374,105.0
398714,104.0
379391,104.0
101338,102.0
8958,101.0
131435,101.0
925292,101.0
467400,100.0
12668,100.0
89207,100.0
1481950,98.0
427161,96.0
810127,95.0
285164,92.0
760769,91.0
117791,91.0
201371,90.0
89348,90.0
359836,88.0
511649,87.0
163871,87.0
400866,85.0
1118729,84.0
563915,84.0
132957,84.0
599622,82.0
38361,82.0
458285,82.0
860907,82.0
715388,81.0
300492,80.0
427190,80.0
925263,80.0
440349,79.0
591756,78.0
796888,78.0
753279,77.0
355352,77.0
470738,76.0
537586,76.0
29013,76.0
157787,76.0
764903,75.0
782984,73.0
494953,73.0
718870,73.0
792295,72.0
47434,71.0
375155,71.0
428025,71.0
250086,70.0
373036,70.0
448462,69.0
152341,69.0
1203133,69.0
250365,68.0
778591,67.0
356726,66.0
316934,66.0
200436,66.0
1224741,65.0
153183,65.0
709485,65.0
67100,64.0
817895,63.0
31844,63.0
60911,63.0
9136,62.0
527107,61.0
152631,61.0
523833,61.0
473653,60.0
11695,60.0
714768,59.0
585207,59.0
51345,59.0
658548,58.0
35115,58.0
647318,58.0
659055,58.0
584189,57.0
716194,57.0
132783,57.0
593054,57.0
22323,56.0
335936,56.0
744559,56.0
