,Citation_Difference
299778,-1020.0
1390184,-856.0
181166,-673.0
87997,-580.0
54961,-562.0
279039,-383.0
673262,-378.0
1245018,-350.0
656250,-315.0
744400,-306.0
640063,-295.0
338625,-279.0
618647,-271.0
706151,-269.0
47300,-260.0
61163,-254.0
652597,-243.0
391003,-238.0
27730,-236.0
533080,-209.0
752478,-204.0
345963,-199.0
813038,-192.0
215204,-189.0
294554,-185.0
357130,-184.0
794379,-176.0
488774,-175.0
304853,-174.0
554662,-172.0
619666,-171.0
554664,-171.0
1359496,-170.0
371076,-170.0
487629,-168.0
650093,-167.0
561191,-166.0
352046,-164.0
806976,-163.0
593015,-158.0
306864,-157.0
1223326,-157.0
205394,-149.0
712900,-148.0
640779,-148.0
559272,-145.0
922696,-144.0
627130,-143.0
202162,-137.0
345318,-135.0
370818,-133.0
483505,-131.0
1120339,-128.0
660150,-128.0
747694,-125.0
242360,-123.0
198204,-122.0
1614063,-121.0
863473,-120.0
504896,-120.0
628449,-114.0
294192,-111.0
487241,-109.0
480267,-108.0
554667,-108.0
134047,-107.0
45402,-106.0
64144,-105.0
522621,-104.0
328604,-104.0
495802,-103.0
400751,-103.0
895273,-103.0
736746,-101.0
647812,-99.0
738588,-99.0
307564,-99.0
1648587,-95.0
487240,-93.0
391838,-90.0
408164,-90.0
158103,-89.0
306575,-89.0
362224,-89.0
744401,-89.0
841474,-88.0
394902,-87.0
465674,-87.0
26641,-84.0
395678,-84.0
522414,-84.0
49131,-83.0
840234,-83.0
621602,-82.0
576703,-82.0
254099,-81.0
1252132,-81.0
864598,-81.0
222557,-80.0
243773,-80.0
143636,-79.0
142814,-79.0
48340,-79.0
1362558,-78.0
609205,-77.0
775909,-77.0
406190,-76.0
286838,-76.0
119780,-75.0
391871,-73.0
255378,-73.0
429658,-73.0
91800,-72.0
728103,-72.0
323792,-71.0
582123,-71.0
527327,-71.0
486267,-70.0
127083,-70.0
739783,-70.0
782208,-69.0
290037,-69.0
853992,-69.0
487562,-67.0
901039,-67.0
325492,-67.0
1281184,-67.0
250488,-66.0
285601,-66.0
689775,-66.0
378182,-65.0
766657,-64.0
27768,-64.0
586186,-63.0
205348,-62.0
272011,-62.0
158963,-61.0
145532,-61.0
338216,-61.0
603430,-61.0
740173,-59.0
1359498,-59.0
554661,-59.0
633051,-59.0
682442,-59.0
