recID,Citation_Difference,Legacy_Count,Labs_Count
83610,408.0,50,458
673261,400.0,252,652
796887,262.0,4968,5230
642540,255.0,7,262
64534,253.0,3,256
779080,205.0,4991,5196
568636,189.0,4,193
712925,189.0,9280,9469
593382,176.0,8743,8919
10349,167.0,12,179
5943,160.0,48,208
554668,150.0,19,169
925379,135.0,1160,1295
140129,134.0,50,184
919443,120.0,984,1104
18134,119.0,53,172
861954,103.0,611,714
912611,99.0,2587,2686
925292,98.0,420,518
8958,95.0,18,113
163871,87.0,1,88
458285,82.0,1,83
581996,81.0,5565,5646
925263,74.0,331,405
782984,73.0,78,151
47434,71.0,4,75
1481950,70.0,267,337
355352,70.0,207,277
760769,67.0,2194,2261
718870,66.0,188,254
599622,66.0,2056,2122
316934,65.0,45,110
1118729,64.0,773,837
494953,64.0,1522,1586
817895,63.0,5,68
715388,63.0,1956,2019
11695,60.0,58,118
250086,60.0,112,172
861245,60.0,2333,2393
714768,59.0,123,182
22323,56.0,4,60
682441,56.0,10,66
1203133,55.0,774,829
208504,55.0,45,100
753279,54.0,1636,1690
117791,54.0,37,91
658548,53.0,83,136
745205,53.0,53,106
681242,52.0,8,60
873443,50.0,293,343
845712,49.0,1751,1800
744559,49.0,131,180
1299286,49.0,41,90
1118689,49.0,48,97
131435,49.0,983,1032
700668,48.0,1614,1662
496137,48.0,113,161
883196,47.0,842,889
659055,47.0,1729,1776
755413,46.0,942,988
1196797,45.0,596,641
881087,45.0,336,381
49651,44.0,5,49
419603,44.0,98,142
1124338,43.0,7992,8035
527590,43.0,29,72
925285,43.0,224,267
664088,43.0,1,44
119583,43.0,95,138
1955,43.0,14,57
1286631,42.0,13,55
764903,42.0,3648,3690
680016,42.0,1,43
925318,41.0,556,597
132188,40.0,48,88
593054,40.0,1136,1176
313528,40.0,3,43
837836,40.0,39,79
537586,40.0,3119,3159
1443459,39.0,1,40
895063,39.0,75,114
540878,39.0,157,196
251858,39.0,35,74
335936,39.0,96,135
875948,39.0,6053,6092
824921,38.0,83,121
130808,38.0,55,93
779079,38.0,606,644
55499,37.0,20,57
925299,37.0,216,253
1239777,37.0,71,108
778591,37.0,1817,1854
1124337,37.0,8171,8208
166037,36.0,4,40
761683,36.0,72,108
1466792,36.0,7,43
1476,36.0,14,50
120483,35.0,121,156
1085026,35.0,225,260
833292,34.0,13,47
32171,34.0,27,61
398835,33.0,36,69
629838,33.0,53,86
500562,33.0,408,441
825939,33.0,259,292
116448,33.0,30,63
810127,33.0,4086,4119
12462,33.0,18,51
530594,33.0,17,50
919737,33.0,329,362
602070,33.0,3,36
945838,32.0,47,79
123329,32.0,49,81
514748,32.0,2,34
1192040,32.0,99,131
680011,32.0,1,33
320593,32.0,1,33
142919,31.0,23,54
261969,31.0,36,67
925288,31.0,150,181
245828,31.0,61,92
917132,31.0,82,113
254790,31.0,43,74
125626,31.0,82,113
885753,31.0,25,56
897503,31.0,77,108
1286837,30.0,2,32
925262,30.0,116,146
598398,29.0,36,65
68611,29.0,28,57
901829,29.0,174,203
836270,29.0,54,83
925951,29.0,15,44
129864,28.0,3,31
875263,28.0,14,42
448501,28.0,1,29
800421,28.0,35,63
709297,28.0,148,176
562718,28.0,22,50
173446,28.0,80,108
1260703,28.0,232,260
47536,28.0,57,85
523596,28.0,101,129
894748,27.0,18,45
1302373,27.0,6,33
75492,27.0,5,32
614425,27.0,23,50
778378,27.0,61,88
924856,27.0,75,102
13605,26.0,19,45
662155,26.0,2,28
18768,26.0,10,36
877524,26.0,601,627
756703,26.0,48,74
48408,26.0,20,46
16852,26.0,31,57
210165,26.0,30,56
693705,25.0,26,51
925284,25.0,143,168
363876,25.0,6,31
828430,25.0,1,26
1323407,25.0,38,63
431039,25.0,2,27
1086529,25.0,18,43
1279756,25.0,16,41
1210629,25.0,33,58
156267,25.0,173,198
825875,25.0,3,28
68140,25.0,35,60
685228,25.0,12,37
1188769,25.0,11,36
20564,24.0,2,26
897881,24.0,796,820
180803,24.0,63,87
30897,24.0,7,31
851034,24.0,142,166
262685,24.0,29,53
861153,24.0,230,254
689061,24.0,12,36
511911,24.0,33,57
1117203,24.0,9,33
68889,24.0,13,37
883745,24.0,466,490
175664,23.0,103,126
955176,23.0,2162,2185
481861,23.0,1,24
667305,23.0,14,37
248992,23.0,38,61
925604,23.0,13,36
318716,23.0,11,34
929904,23.0,219,242
883198,23.0,388,411
700426,23.0,56,79
1197996,23.0,24,47
915810,23.0,273,296
2034,23.0,84,107
916908,23.0,236,259
766874,22.0,26,48
326391,22.0,1,23
645240,22.0,21,43
728384,22.0,3,25
47853,22.0,4,26
63532,22.0,48,70
233326,22.0,101,123
798825,22.0,54,76
155192,22.0,3,25
1240093,21.0,249,270
925294,21.0,99,120
153814,21.0,36,57
602346,21.0,1,22
929440,21.0,35,56
778008,21.0,129,150
1439970,21.0,1,22
845323,21.0,362,383
858393,21.0,12,33
390839,20.0,701,721
831022,20.0,42,62
725573,20.0,805,825
50049,20.0,884,904
199868,20.0,49,69
585687,20.0,2452,2472
194861,20.0,18,38
1082681,20.0,17,37
883176,20.0,1349,1369
526097,20.0,31,51
1260598,20.0,18,38
377739,20.0,40,60
1591665,20.0,289,309
613862,20.0,25,45
1124213,20.0,17,37
268735,20.0,7,27
863729,20.0,38,58
861169,20.0,56,76
658434,20.0,55,75
295260,19.0,63,82
374574,19.0,844,863
155967,19.0,112,131
62015,19.0,6,25
472465,19.0,49,68
768965,19.0,18,37
1091094,19.0,57,76
1118175,19.0,388,407
444161,19.0,16,35
132200,19.0,85,104
925212,18.0,92,110
568223,18.0,10,28
897175,18.0,31,49
374685,18.0,94,112
812386,18.0,6,24
91498,18.0,25,43
807413,18.0,41,59
913987,18.0,1,19
386786,18.0,621,639
629350,18.0,19,37
108070,18.0,6,24
1334493,18.0,27,45
803321,18.0,37,55
1217677,18.0,5,23
218044,18.0,97,115
856220,18.0,676,694
1631706,18.0,3,21
780942,18.0,23,41
796244,18.0,23,41
199221,18.0,461,479
551744,18.0,119,137
601228,18.0,203,221
1390077,18.0,191,209
542631,17.0,1,18
1105125,17.0,14,31
722174,17.0,11,28
648609,17.0,69,86
1115303,17.0,113,130
614918,17.0,71,88
537385,17.0,173,190
144074,17.0,358,375
129457,17.0,516,533
81846,17.0,30,47
925179,17.0,61,78
790279,17.0,121,138
1126428,17.0,7843,7860
475099,17.0,77,94
1090139,17.0,18,35
282847,17.0,46,63
1389705,17.0,23,40
688227,17.0,51,68
182149,16.0,241,257
787172,16.0,5,21
428544,16.0,26,42
1411191,16.0,6,22
504962,16.0,11,27
726169,16.0,181,197
782806,16.0,16,32
499380,16.0,19,35
846542,16.0,479,495
736752,16.0,1,17
554243,16.0,34,50
898616,16.0,454,470
315512,16.0,31,47
622845,16.0,44,60
15489,16.0,42,58
843998,16.0,614,630
766842,16.0,11,27
1386232,16.0,8,24
314999,16.0,64,80
213065,16.0,182,198
108516,16.0,2039,2055
661593,16.0,143,159
54540,16.0,8,24
1260674,16.0,117,133
55215,16.0,9,25
562633,16.0,63,79
891739,16.0,10,26
708336,16.0,37,53
861364,16.0,27,43
890866,16.0,20,36
1514709,16.0,3,19
859853,16.0,44,60
533869,16.0,111,127
1191934,16.0,54,70
523430,16.0,158,174
31475,15.0,650,665
925312,15.0,69,84
1237915,15.0,205,220
32868,15.0,507,522
633967,15.0,17,32
633546,15.0,39,54
644128,15.0,785,800
624852,15.0,20,35
425547,15.0,540,555
428434,15.0,60,75
868303,15.0,389,404
646220,15.0,59,74
873327,15.0,11,26
821641,15.0,393,408
409462,15.0,5,20
799358,15.0,47,62
1336200,15.0,16,31
1343538,15.0,53,68
1462572,15.0,37,52
846428,15.0,71,86
824251,15.0,89,104
146994,15.0,22,37
1094112,15.0,10,25
129289,15.0,3,18
753748,15.0,51,66
756271,15.0,17,32
577170,15.0,6,21
761137,15.0,103,118
95654,15.0,320,335
92122,15.0,2773,2788
288301,15.0,24,39
1120934,15.0,5,20
687044,15.0,9,24
928119,15.0,13,28
893028,15.0,21,36
809337,15.0,8,23
793198,15.0,26,41
662094,15.0,225,240
1207757,15.0,5,20
782784,15.0,30,45
686585,15.0,12,27
60298,14.0,21,35
664063,14.0,5,19
898599,14.0,283,297
653223,14.0,12,26
95696,14.0,82,96
91463,14.0,482,496
763330,14.0,203,217
268647,14.0,71,85
701585,14.0,151,165
1302336,14.0,31,45
425100,14.0,1010,1024
361118,14.0,753,767
62977,14.0,5,19
1385275,14.0,35,49
788966,14.0,1,15
872462,14.0,1,15
1272842,14.0,538,552
680014,14.0,2,16
915005,14.0,15,29
318753,14.0,26,40
1331434,14.0,13,27
207866,14.0,2091,2105
822559,14.0,24,38
824130,14.0,14,28
765338,14.0,23,37
1603678,14.0,43,57
613400,14.0,49,63
925295,14.0,78,92
1084110,14.0,2,16
22979,14.0,533,547
1116135,14.0,10,24
1649621,14.0,8,22
1084735,14.0,10,24
1603074,14.0,1,15
525221,14.0,34,48
806987,14.0,92,106
1117120,14.0,142,156
758483,13.0,92,105
507731,13.0,4,17
1272652,13.0,43,56
741491,13.0,3,16
832063,13.0,399,412
882364,13.0,8,21
832802,13.0,12,25
779031,13.0,4,17
107910,13.0,38,51
1324923,13.0,14,27
881901,13.0,12,25
484872,13.0,454,467
867437,13.0,47,60
6779,13.0,16,29
844003,13.0,105,118
1343791,13.0,439,452
1122861,13.0,10,23
792864,13.0,2,15
796970,13.0,74,87
139873,13.0,22,35
647915,13.0,22,35
892527,13.0,17,30
780833,13.0,1626,1639
726170,13.0,102,115
816652,13.0,62,75
663128,13.0,22,35
546188,13.0,8,21
870473,13.0,650,663
708380,13.0,46,59
709135,13.0,130,143
70500,13.0,78,91
766789,13.0,9,22
787440,13.0,368,381
621992,13.0,27,40
1117529,13.0,31,44
685467,13.0,250,263
714859,13.0,72,85
316910,13.0,23,36
1086949,13.0,9,22
509419,13.0,5,18
763755,13.0,35,48
308143,13.0,1,14
847338,13.0,7,20
923959,12.0,238,250
1262282,12.0,34,46
455675,12.0,464,476
21713,12.0,40,52
3400,12.0,39,51
828090,12.0,19,31
695528,12.0,20,32
803708,12.0,2060,2072
316608,12.0,29,41
620764,12.0,90,102
847168,12.0,36,48
786451,12.0,9,21
1184349,12.0,108,120
319311,12.0,7,19
503275,12.0,130,142
1339227,12.0,57,69
43933,12.0,14,26
1220094,12.0,4,16
764928,12.0,115,127
823974,12.0,34,46
925300,12.0,83,95
70501,12.0,94,106
582013,12.0,28,40
1266017,12.0,12,24
756497,12.0,54,66
560129,12.0,1901,1913
892742,12.0,656,668
713091,12.0,17,29
445632,12.0,216,228
878087,12.0,160,172
649932,12.0,358,370
81753,12.0,5,17
894253,12.0,32,44
1224273,12.0,599,611
614266,12.0,12,24
860789,12.0,733,745
1246905,12.0,318,330
628180,12.0,219,231
1275989,12.0,7,19
75449,12.0,24,36
510494,12.0,23,35
702573,12.0,2,14
396788,11.0,2,13
683324,11.0,16,27
837890,11.0,71,82
898089,11.0,5,16
1123150,11.0,18,29
896515,11.0,16,27
399515,11.0,448,459
803390,11.0,120,131
480073,11.0,32,43
1201946,11.0,218,229
725820,11.0,21,32
51165,11.0,1504,1515
488562,11.0,4,15
1621468,11.0,2,13
940381,11.0,3,14
749263,11.0,17,28
1395736,11.0,55,66
1242423,11.0,151,162
1335299,11.0,8,19
747947,11.0,45,56
374783,11.0,3,14
836107,11.0,891,902
582380,11.0,58,69
900212,11.0,491,502
732677,11.0,41,52
921708,11.0,9,20
889010,11.0,615,626
191420,11.0,1,12
917436,11.0,128,139
505709,11.0,5,16
564112,11.0,18,29
860907,11.0,1666,1677
620677,11.0,48,59
1225670,11.0,32,43
1343142,11.0,12,23
62286,11.0,71,82
632127,11.0,30,41
717576,11.0,157,168
712054,11.0,42,53
826654,11.0,448,459
1205272,11.0,6,17
445565,11.0,820,831
1311846,11.0,55,66
919742,11.0,193,204
