recID,Citation_Difference,Legacy_Count,Labs_Count
299778,-1023.0,1405,382
1390184,-856.0,863,7
181166,-682.0,1644,962
87997,-580.0,846,266
54961,-563.0,599,36
279039,-384.0,772,388
673262,-380.0,438,58
1245018,-350.0,361,11
656250,-317.0,489,172
744400,-306.0,307,1
640063,-295.0,368,73
338625,-279.0,280,1
618647,-271.0,314,43
706151,-269.0,321,52
47300,-260.0,263,3
61163,-254.0,259,5
652597,-253.0,1592,1339
391003,-238.0,292,54
27730,-236.0,274,38
533080,-209.0,273,64
752478,-204.0,235,31
345963,-199.0,294,95
813038,-193.0,222,29
215204,-189.0,193,4
294554,-186.0,214,28
357130,-184.0,249,65
794379,-176.0,275,99
304853,-175.0,180,5
488774,-175.0,213,38
1223326,-174.0,500,326
554662,-172.0,177,5
554664,-171.0,173,2
371076,-171.0,223,52
619666,-171.0,242,71
1359496,-170.0,173,3
487629,-168.0,175,7
650093,-167.0,309,142
561191,-167.0,412,245
352046,-164.0,182,18
806976,-164.0,294,130
593015,-158.0,210,52
306864,-157.0,200,43
205394,-154.0,573,419
559272,-154.0,1190,1036
712900,-148.0,189,41
640779,-148.0,164,16
922696,-146.0,292,146
627130,-143.0,188,45
202162,-139.0,140,1
345318,-136.0,165,29
370818,-133.0,149,16
863473,-132.0,1164,1032
483505,-131.0,184,53
1120339,-129.0,233,104
660150,-128.0,163,35
504896,-126.0,199,73
747694,-125.0,207,82
242360,-123.0,154,31
198204,-123.0,152,29
1614063,-121.0,122,1
628449,-116.0,192,76
294192,-111.0,122,11
487241,-109.0,291,182
480267,-108.0,250,142
554667,-108.0,109,1
134047,-107.0,116,9
45402,-106.0,113,7
64144,-105.0,113,8
328604,-105.0,536,431
522621,-104.0,129,25
495802,-104.0,110,6
400751,-103.0,110,7
895273,-103.0,138,35
736746,-101.0,104,3
307564,-99.0,105,6
647812,-99.0,119,20
738588,-99.0,132,33
1648587,-97.0,111,14
487240,-95.0,296,201
744401,-91.0,120,29
408164,-91.0,114,23
391838,-90.0,106,16
362224,-90.0,155,65
394902,-90.0,272,182
158103,-89.0,112,23
306575,-89.0,94,5
841474,-88.0,124,36
465674,-87.0,97,10
395678,-84.0,85,1
26641,-84.0,94,10
522414,-84.0,109,25
621602,-83.0,163,80
49131,-83.0,122,39
840234,-83.0,86,3
576703,-82.0,121,39
1252132,-81.0,199,118
864598,-81.0,91,10
243773,-81.0,86,5
254099,-81.0,84,3
222557,-80.0,91,11
142814,-79.0,116,37
143636,-79.0,160,81
406190,-79.0,254,175
48340,-79.0,89,10
1362558,-78.0,87,9
609205,-77.0,83,6
775909,-77.0,87,10
286838,-77.0,113,36
119780,-75.0,84,9
391871,-73.0,90,17
255378,-73.0,113,40
429658,-73.0,80,7
728103,-72.0,100,28
91800,-72.0,190,118
582123,-71.0,72,1
323792,-71.0,88,17
527327,-71.0,72,1
486267,-70.0,81,11
739783,-70.0,96,26
127083,-70.0,97,27
853992,-69.0,93,24
1281184,-69.0,93,24
290037,-69.0,87,18
782208,-69.0,82,13
325492,-67.0,80,13
901039,-67.0,78,11
487562,-67.0,95,28
250488,-66.0,251,185
285601,-66.0,108,42
689775,-66.0,68,2
378182,-65.0,84,19
27768,-64.0,67,3
766657,-64.0,69,5
586186,-63.0,196,133
272011,-62.0,67,5
205348,-62.0,65,3
158963,-61.0,87,26
338216,-61.0,83,22
633051,-61.0,162,101
603430,-61.0,67,6
145532,-61.0,84,23
554661,-60.0,133,73
1359498,-60.0,77,17
1240419,-60.0,341,281
809173,-59.0,63,4
740173,-59.0,151,92
682442,-59.0,66,7
871323,-59.0,175,116
195126,-59.0,683,624
809169,-58.0,59,1
740534,-58.0,60,2
808479,-58.0,59,1
807025,-58.0,59,1
809190,-58.0,59,1
800171,-58.0,64,6
809162,-58.0,59,1
809163,-58.0,59,1
622491,-58.0,93,35
809167,-58.0,59,1
811410,-57.0,58,1
351013,-57.0,62,5
809197,-57.0,58,1
158768,-57.0,168,111
537634,-57.0,60,3
809159,-57.0,58,1
809204,-57.0,58,1
809067,-57.0,59,2
809236,-57.0,58,1
1488080,-56.0,62,6
14621,-55.0,635,580
656912,-55.0,249,194
32492,-55.0,67,12
646401,-55.0,73,18
644038,-55.0,61,6
162065,-54.0,65,11
852758,-54.0,66,12
734789,-54.0,133,79
730379,-53.0,57,4
787525,-53.0,195,142
589258,-53.0,71,18
306627,-53.0,61,8
8885,-53.0,88,35
305188,-53.0,54,1
735550,-52.0,65,13
835777,-52.0,160,108
744404,-52.0,115,63
430948,-52.0,189,137
303932,-51.0,59,8
152556,-51.0,82,31
761152,-51.0,99,48
224457,-51.0,305,254
841572,-51.0,156,105
339912,-51.0,60,9
1240098,-51.0,596,545
639409,-50.0,57,7
195716,-50.0,90,40
44817,-49.0,231,182
181168,-49.0,75,26
1614059,-49.0,143,94
682849,-49.0,205,156
359261,-49.0,57,8
708120,-48.0,162,114
343530,-48.0,59,11
644105,-48.0,146,98
661374,-48.0,64,16
647004,-48.0,54,6
1388336,-48.0,53,5
37882,-48.0,63,15
591376,-47.0,89,42
195708,-47.0,146,99
430034,-47.0,83,36
237143,-46.0,47,1
340705,-46.0,250,204
758115,-46.0,52,6
429465,-46.0,55,9
665412,-46.0,54,8
522415,-46.0,51,5
135656,-46.0,56,10
111507,-46.0,49,3
6792,-45.0,77,32
255996,-45.0,48,3
341123,-45.0,50,5
257360,-45.0,51,6
671271,-44.0,71,27
1236487,-44.0,57,13
136230,-44.0,64,20
1343079,-44.0,4996,4952
443057,-43.0,65,22
639628,-43.0,47,4
963505,-43.0,49,6
439151,-43.0,54,11
357890,-43.0,62,19
570842,-43.0,86,43
144904,-43.0,46,3
1591103,-43.0,55,12
875992,-43.0,105,62
696373,-42.0,53,11
1359688,-42.0,46,4
1233495,-42.0,303,261
307080,-42.0,44,2
807304,-42.0,79,37
589372,-42.0,57,15
728113,-41.0,42,1
671272,-41.0,45,4
345315,-41.0,44,3
1474251,-41.0,44,3
839959,-41.0,156,115
383627,-41.0,47,6
552686,-41.0,47,6
255673,-41.0,85,44
502268,-41.0,57,16
739893,-40.0,49,9
604987,-40.0,110,70
1313072,-40.0,42,2
764488,-39.0,165,126
456851,-39.0,62,23
588021,-39.0,58,19
252419,-39.0,200,161
471686,-39.0,63,24
689791,-38.0,42,4
647003,-38.0,65,27
186478,-38.0,41,3
536012,-38.0,48,10
185489,-38.0,41,3
269218,-38.0,47,9
276540,-38.0,52,14
728114,-38.0,42,4
559956,-38.0,42,4
546407,-38.0,46,8
370817,-37.0,41,4
759033,-37.0,41,4
571263,-37.0,42,5
612496,-36.0,39,3
508054,-36.0,43,7
428581,-36.0,47,11
701586,-36.0,116,80
690839,-36.0,74,38
809761,-36.0,43,7
107061,-36.0,40,4
335731,-36.0,49,13
504891,-35.0,38,3
130188,-35.0,78,43
45517,-35.0,158,123
1435320,-35.0,142,107
181162,-35.0,56,21
1264209,-35.0,36,1
527189,-35.0,78,43
51345,-35.0,2831,2796
700866,-35.0,43,8
1358089,-35.0,50,15
711538,-35.0,49,14
485478,-35.0,53,18
48524,-35.0,206,171
700859,-34.0,43,9
582420,-34.0,53,19
390879,-34.0,46,12
607929,-34.0,35,1
391829,-34.0,37,3
660149,-34.0,73,39
256204,-34.0,40,6
876837,-34.0,35,1
558296,-34.0,220,186
128932,-33.0,99,66
670459,-33.0,35,2
728109,-33.0,44,11
289619,-33.0,34,1
215091,-33.0,35,2
195127,-33.0,48,15
286222,-33.0,34,1
87908,-33.0,38,5
463524,-32.0,38,6
162130,-32.0,36,4
809191,-32.0,39,7
538478,-32.0,384,352
458911,-32.0,36,4
239743,-32.0,34,2
255985,-32.0,33,1
1240418,-32.0,159,127
876836,-31.0,35,4
821076,-31.0,33,2
653501,-31.0,36,5
59407,-31.0,41,10
736775,-31.0,35,4
655753,-31.0,41,10
614558,-31.0,46,15
669628,-31.0,544,513
321180,-31.0,34,3
503279,-31.0,699,668
540682,-31.0,118,87
1614065,-31.0,32,1
774785,-31.0,44,13
47897,-30.0,353,323
52528,-30.0,31,1
776408,-30.0,39,9
25698,-30.0,31,1
464648,-30.0,34,4
840695,-30.0,31,1
889241,-30.0,98,68
286836,-30.0,41,11
627143,-30.0,49,19
220986,-30.0,37,7
850173,-30.0,41,11
892576,-30.0,69,39
1331417,-30.0,38,8
391827,-30.0,33,3
256206,-30.0,41,11
318903,-30.0,84,54
684062,-30.0,37,7
1305021,-29.0,150,121
768483,-29.0,57,28
633046,-29.0,39,10
287536,-29.0,38,9
355749,-29.0,31,2
131402,-29.0,115,86
313479,-29.0,32,3
709950,-29.0,37,8
714930,-29.0,56,27
822489,-29.0,34,5
711542,-29.0,37,8
376251,-28.0,33,5
867864,-28.0,32,4
345737,-28.0,40,12
