recID,Citation_Difference,Legacy_Count,Labs_Count
299778,1023.0,1405,382
1390184,856.0,863,7
181166,682.0,1644,962
87997,580.0,846,266
54961,563.0,599,36
83610,408.0,50,458
673261,400.0,252,652
279039,384.0,772,388
673262,380.0,438,58
1245018,350.0,361,11
656250,317.0,489,172
744400,306.0,307,1
640063,295.0,368,73
338625,279.0,280,1
618647,271.0,314,43
706151,269.0,321,52
796887,262.0,4968,5230
47300,260.0,263,3
642540,255.0,7,262
61163,254.0,259,5
652597,253.0,1592,1339
64534,253.0,3,256
391003,238.0,292,54
27730,236.0,274,38
533080,209.0,273,64
779080,205.0,4991,5196
752478,204.0,235,31
345963,199.0,294,95
813038,193.0,222,29
712925,189.0,9280,9469
568636,189.0,4,193
215204,189.0,193,4
294554,186.0,214,28
357130,184.0,249,65
593382,176.0,8743,8919
794379,176.0,275,99
304853,175.0,180,5
488774,175.0,213,38
1223326,174.0,500,326
554662,172.0,177,5
371076,171.0,223,52
619666,171.0,242,71
554664,171.0,173,2
1359496,170.0,173,3
487629,168.0,175,7
10349,167.0,12,179
561191,167.0,412,245
650093,167.0,309,142
806976,164.0,294,130
352046,164.0,182,18
5943,160.0,48,208
593015,158.0,210,52
306864,157.0,200,43
205394,154.0,573,419
559272,154.0,1190,1036
554668,150.0,19,169
712900,148.0,189,41
640779,148.0,164,16
922696,146.0,292,146
627130,143.0,188,45
202162,139.0,140,1
345318,136.0,165,29
925379,135.0,1160,1295
140129,134.0,50,184
370818,133.0,149,16
863473,132.0,1164,1032
483505,131.0,184,53
1120339,129.0,233,104
660150,128.0,163,35
504896,126.0,199,73
747694,125.0,207,82
242360,123.0,154,31
198204,123.0,152,29
1614063,121.0,122,1
919443,120.0,984,1104
18134,119.0,53,172
628449,116.0,192,76
294192,111.0,122,11
487241,109.0,291,182
480267,108.0,250,142
554667,108.0,109,1
134047,107.0,116,9
45402,106.0,113,7
328604,105.0,536,431
64144,105.0,113,8
495802,104.0,110,6
522621,104.0,129,25
400751,103.0,110,7
895273,103.0,138,35
861954,103.0,611,714
736746,101.0,104,3
738588,99.0,132,33
647812,99.0,119,20
912611,99.0,2587,2686
307564,99.0,105,6
925292,98.0,420,518
1648587,97.0,111,14
487240,95.0,296,201
8958,95.0,18,113
408164,91.0,114,23
744401,91.0,120,29
391838,90.0,106,16
394902,90.0,272,182
362224,90.0,155,65
306575,89.0,94,5
158103,89.0,112,23
841474,88.0,124,36
465674,87.0,97,10
163871,87.0,1,88
522414,84.0,109,25
26641,84.0,94,10
395678,84.0,85,1
621602,83.0,163,80
49131,83.0,122,39
840234,83.0,86,3
458285,82.0,1,83
576703,82.0,121,39
1252132,81.0,199,118
243773,81.0,86,5
254099,81.0,84,3
864598,81.0,91,10
581996,81.0,5565,5646
222557,80.0,91,11
142814,79.0,116,37
143636,79.0,160,81
48340,79.0,89,10
406190,79.0,254,175
1362558,78.0,87,9
286838,77.0,113,36
775909,77.0,87,10
609205,77.0,83,6
119780,75.0,84,9
925263,74.0,331,405
429658,73.0,80,7
782984,73.0,78,151
391871,73.0,90,17
255378,73.0,113,40
728103,72.0,100,28
91800,72.0,190,118
527327,71.0,72,1
47434,71.0,4,75
582123,71.0,72,1
323792,71.0,88,17
355352,70.0,207,277
486267,70.0,81,11
739783,70.0,96,26
1481950,70.0,267,337
127083,70.0,97,27
290037,69.0,87,18
1281184,69.0,93,24
782208,69.0,82,13
853992,69.0,93,24
325492,67.0,80,13
760769,67.0,2194,2261
487562,67.0,95,28
901039,67.0,78,11
285601,66.0,108,42
599622,66.0,2056,2122
250488,66.0,251,185
689775,66.0,68,2
718870,66.0,188,254
316934,65.0,45,110
378182,65.0,84,19
27768,64.0,67,3
1118729,64.0,773,837
494953,64.0,1522,1586
766657,64.0,69,5
817895,63.0,5,68
586186,63.0,196,133
715388,63.0,1956,2019
272011,62.0,67,5
205348,62.0,65,3
145532,61.0,84,23
603430,61.0,67,6
158963,61.0,87,26
338216,61.0,83,22
633051,61.0,162,101
1359498,60.0,77,17
861245,60.0,2333,2393
554661,60.0,133,73
1240419,60.0,341,281
250086,60.0,112,172
11695,60.0,58,118
809173,59.0,63,4
195126,59.0,683,624
682442,59.0,66,7
714768,59.0,123,182
740173,59.0,151,92
871323,59.0,175,116
740534,58.0,60,2
807025,58.0,59,1
800171,58.0,64,6
809162,58.0,59,1
809163,58.0,59,1
622491,58.0,93,35
809167,58.0,59,1
809169,58.0,59,1
809190,58.0,59,1
808479,58.0,59,1
809067,57.0,59,2
158768,57.0,168,111
809197,57.0,58,1
809204,57.0,58,1
811410,57.0,58,1
351013,57.0,62,5
537634,57.0,60,3
809236,57.0,58,1
809159,57.0,58,1
22323,56.0,4,60
682441,56.0,10,66
1488080,56.0,62,6
644038,55.0,61,6
32492,55.0,67,12
14621,55.0,635,580
646401,55.0,73,18
208504,55.0,45,100
1203133,55.0,774,829
656912,55.0,249,194
117791,54.0,37,91
734789,54.0,133,79
852758,54.0,66,12
162065,54.0,65,11
753279,54.0,1636,1690
589258,53.0,71,18
306627,53.0,61,8
658548,53.0,83,136
8885,53.0,88,35
305188,53.0,54,1
745205,53.0,53,106
730379,53.0,57,4
787525,53.0,195,142
430948,52.0,189,137
744404,52.0,115,63
835777,52.0,160,108
735550,52.0,65,13
681242,52.0,8,60
224457,51.0,305,254
152556,51.0,82,31
1240098,51.0,596,545
339912,51.0,60,9
303932,51.0,59,8
841572,51.0,156,105
761152,51.0,99,48
873443,50.0,293,343
195716,50.0,90,40
639409,50.0,57,7
744559,49.0,131,180
44817,49.0,231,182
359261,49.0,57,8
131435,49.0,983,1032
1299286,49.0,41,90
1614059,49.0,143,94
1118689,49.0,48,97
181168,49.0,75,26
682849,49.0,205,156
845712,49.0,1751,1800
700668,48.0,1614,1662
661374,48.0,64,16
708120,48.0,162,114
37882,48.0,63,15
343530,48.0,59,11
647004,48.0,54,6
1388336,48.0,53,5
644105,48.0,146,98
496137,48.0,113,161
591376,47.0,89,42
659055,47.0,1729,1776
430034,47.0,83,36
883196,47.0,842,889
195708,47.0,146,99
429465,46.0,55,9
665412,46.0,54,8
111507,46.0,49,3
522415,46.0,51,5
758115,46.0,52,6
237143,46.0,47,1
340705,46.0,250,204
755413,46.0,942,988
135656,46.0,56,10
1196797,45.0,596,641
881087,45.0,336,381
257360,45.0,51,6
255996,45.0,48,3
341123,45.0,50,5
6792,45.0,77,32
136230,44.0,64,20
1343079,44.0,4996,4952
1236487,44.0,57,13
49651,44.0,5,49
419603,44.0,98,142
671271,44.0,71,27
875992,43.0,105,62
1124338,43.0,7992,8035
639628,43.0,47,4
963505,43.0,49,6
527590,43.0,29,72
439151,43.0,54,11
925285,43.0,224,267
443057,43.0,65,22
357890,43.0,62,19
664088,43.0,1,44
1955,43.0,14,57
1591103,43.0,55,12
570842,43.0,86,43
144904,43.0,46,3
119583,43.0,95,138
696373,42.0,53,11
307080,42.0,44,2
764903,42.0,3648,3690
1233495,42.0,303,261
680016,42.0,1,43
1286631,42.0,13,55
807304,42.0,79,37
1359688,42.0,46,4
589372,42.0,57,15
925318,41.0,556,597
383627,41.0,47,6
1474251,41.0,44,3
255673,41.0,85,44
728113,41.0,42,1
345315,41.0,44,3
552686,41.0,47,6
671272,41.0,45,4
502268,41.0,57,16
839959,41.0,156,115
537586,40.0,3119,3159
593054,40.0,1136,1176
1313072,40.0,42,2
739893,40.0,49,9
132188,40.0,48,88
837836,40.0,39,79
313528,40.0,3,43
604987,40.0,110,70
251858,39.0,35,74
335936,39.0,96,135
875948,39.0,6053,6092
895063,39.0,75,114
540878,39.0,157,196
1443459,39.0,1,40
471686,39.0,63,24
456851,39.0,62,23
252419,39.0,200,161
588021,39.0,58,19
764488,39.0,165,126
546407,38.0,46,8
536012,38.0,48,10
185489,38.0,41,3
186478,38.0,41,3
824921,38.0,83,121
728114,38.0,42,4
269218,38.0,47,9
130808,38.0,55,93
779079,38.0,606,644
559956,38.0,42,4
647003,38.0,65,27
689791,38.0,42,4
276540,38.0,52,14
1239777,37.0,71,108
1124337,37.0,8171,8208
759033,37.0,41,4
778591,37.0,1817,1854
370817,37.0,41,4
571263,37.0,42,5
925299,37.0,216,253
55499,37.0,20,57
428581,36.0,47,11
107061,36.0,40,4
761683,36.0,72,108
1466792,36.0,7,43
166037,36.0,4,40
612496,36.0,39,3
1476,36.0,14,50
701586,36.0,116,80
335731,36.0,49,13
690839,36.0,74,38
809761,36.0,43,7
508054,36.0,43,7
181162,35.0,56,21
45517,35.0,158,123
48524,35.0,206,171
1085026,35.0,225,260
700866,35.0,43,8
504891,35.0,38,3
485478,35.0,53,18
1264209,35.0,36,1
130188,35.0,78,43
711538,35.0,49,14
527189,35.0,78,43
1358089,35.0,50,15
51345,35.0,2831,2796
