,recID,oldRef,newRef,metaData
755188,1359377,0,1391415,"{'reference': {'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}]}}"
4804376,1415495,1253646,1253646,"{'reference': {'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'misc': ['Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC. HEPData'], 'publication_info': {'year': 2013}, 'label': '26', 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253646'}, 'recid': 1253646}"
4951548,1482349,1388801,1388801,"{'reference': {'label': '123', 'misc': ['tech. rep'], 'dois': ['10.7484/INSPIREHEP.DATA.UYT6.GFD9'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Chalons, G.'}, {'full_name': 'Sengupta, D.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1388801'}, 'recid': 1388801}"
4951549,1482349,1408964,1408964,"{'reference': {'label': '124', 'misc': ['tech. rep'], 'dois': ['10.7484/INSPIREHEP.DATA.STLS.SAMT'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Fuks, B.'}, {'full_name': 'Blanke, M.'}, {'full_name': 'Galon, I.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1408964'}, 'recid': 1408964}"
4982295,1466300,1413153,1413153,"{'reference': {'label': '105', 'misc': ['MadAnalysis5 implementation of the CMS monojet search (EXO-12-048)'], 'dois': ['10.7484/INSPIREHEP.DATA.JAN2.UNDA'], 'authors': [{'full_name': 'Guo, J.'}, {'full_name': 'Conte, E.'}, {'full_name': 'Fuks, B.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1413153'}, 'legacy_curated': True, 'recid': 1413153}"
4982296,1466300,1456179,1456179,"{'reference': {'label': '106', 'misc': ['MadAnalysis5 implementation of the CMS search for dark matter production with top quark pairs in the single lepton channel (CMS-B2G-14-004)'], 'dois': ['10.7484/INSPIREHEP.DATA.MIHA.JR4G'], 'authors': [{'full_name': 'Fuks, B.'}, {'full_name': 'Martini, A.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1456179'}, 'legacy_curated': True, 'recid': 1456179}"
5122212,1404830,1391415,1391415,"{'reference': {'misc': ['triangle.py v0.1.1'], 'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1391415'}, 'recid': 1391415}"
5964993,1494821,1391415,1391415,"{'reference': {'label': '297', 'misc': ['Dan Foreman-Mackey, Adrian Price-Whelan, Geoffrey Ryan, Emily, Michael Smith, Kyle Barbary triangle.py v0.1.1,. URL: doi:10. 5281/zenodo.11020'], 'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Hogg, David W.'}, {'full_name': 'Brewer, Brendon J.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1391415'}, 'recid': 1391415}"
10134523,1263394,1253646,1253646,"{'reference': {'label': '6', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → γγ'}, 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253646'}, 'recid': 1253646}"
10134524,1263394,1253647,1253647,"{'reference': {'label': '7', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → ZZ∗ → 4'}, 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253647'}, 'recid': 1253647}"
