,recID,oldRef,newRef,metaData
755188,1359377,0,1391415,"{'reference': {'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}]}}"
14121930,1299686,0,1391423,"{'reference': {'label': '29', 'misc': ['The fitting software used in this paper is available online: see lsqfit v4.8.5.1. ZENODO'], 'dois': ['10.5281/zenodo.10236'], 'publication_info': {'year': 2012}, 'authors': [{'full_name': 'Lepage, G.P.'}]}}"
14121931,1299686,0,1391420,"{'reference': {'label': '29', 'misc': ['for a general package for nonlinear least-squares fitting, and G. P. Lepage . corrfitter v3.7.1. ZENODO for a general package for fitting 2-point and 3-point correlators. This software implements the strategies discussed in Appendix A of this paper'], 'dois': ['10.5281/zenodo.10237'], 'publication_info': {'year': 2012}}}"
19480838,1381770,0,1399459,"{'reference': {'title': {'title': 'asqtad ensemble 2064f21b676m010m050'}, 'misc': ['(MILC Collaboration)'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Aubin, C.'}], 'label': '29', 'dois': ['10.15484/milc.asqtad.en06a/1178158']}, 'legacy_curated': True}"
19480839,1381770,0,1399431,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2064f21b676m010m050b'}, 'dois': ['10.15484/milc.asqtad.en06b/1178159'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480840,1381770,0,1399440,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2064f21b676m007m050'}, 'dois': ['10.15484/milc.asqtad.en05a/1178156'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480841,1381770,0,1399460,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2064f21b676m007m050b'}, 'dois': ['10.15484/milc.asqtad.en05b/1178157'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480842,1381770,0,1399438,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2464f21b676m005m050'}, 'dois': ['10.15484/milc.asqtad.en04a/1178155'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480843,1381770,0,1399443,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2896f21b709m0062m031'}, 'dois': ['10.15484/milc.asqtad.en15a/1178095'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480844,1381770,0,1399445,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 2896f21b709m0062m031b'}, 'dois': ['10.15484/milc.asqtad.en15b/1178096'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480845,1381770,0,1399450,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 3296f21b7085m00465m031'}, 'dois': ['10.15484/milc.asqtad.en14a/1178094'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480846,1381770,0,1399430,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 4096f21b708m0031m031a'}, 'dois': ['10.15484/milc.asqtad.en13a/1178092'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480847,1381770,0,1399427,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 4096f21b708m0031m031b'}, 'dois': ['10.15484/milc.asqtad.en13b/1178093'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480848,1381770,0,1399457,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 6496f21b7075m00155m031'}, 'dois': ['10.15484/milc.asqtad.en12a/1178091'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480849,1381770,0,1399452,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 48144f21b748m0072m018a'}, 'dois': ['10.15484/milc.asqtad.en23a/1178040'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480850,1381770,0,1399433,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 48144f21b748m0072m018b'}, 'dois': ['10.15484/milc.asqtad.en23b/1178041'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480851,1381770,0,1399446,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 48144f21b747m0036m018a'}, 'dois': ['10.15484/milc.asqtad.en20a/1178036'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480852,1381770,0,1399444,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 48144f21b747m0036m018b'}, 'dois': ['10.15484/milc.asqtad.en20b/1178037'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480853,1381770,0,1399429,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 56144f21b7465m0025m018'}, 'dois': ['10.15484/milc.asqtad.en19a/1178035'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480854,1381770,0,1399448,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 64144f21b746m0018m018a'}, 'dois': ['10.15484/milc.asqtad.en18a/1178033'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480855,1381770,0,1399454,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 64144f21b746m0018m018b'}, 'dois': ['10.15484/milc.asqtad.en18b/1178034'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
19480856,1381770,0,1364957,"{'reference': {'label': '29', 'title': {'title': 'asqtad ensemble 64192f21b781m0028m014'}, 'dois': ['10.15484/milc.asqtad.en24a/1177873'], 'publication_info': {'year': 2015}}, 'legacy_curated': True}"
22184385,1364477,0,1391422,"{'reference': {'misc': ['fitsjs: 0.6.6'], 'dois': ['10.5281/zenodo.16707'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Kapadia, A.'}]}}"
22448426,1244142,0,1253646,"{'reference': {'label': '62', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → γγ'}, 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}}"
22448427,1244142,0,1253647,"{'reference': {'label': '63', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → ZZ∗ → 4'}, 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}}"
22448428,1244142,0,1253648,"{'reference': {'label': '64', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → WW∗ → ν ν'}, 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}}"
22907234,1306285,1302493,1325001,"{'reference': {'label': '51', 'title': {'title': 'MadAnalysis 5 implementation of ATLAS-SUSY-2013-05'}, 'dois': ['10.7484/INSPIREHEP.DATA.Z4ML.3W67.2'], 'authors': [{'full_name': 'Chalons, G.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1302493'}, 'legacy_curated': True, 'recid': 1302493}"
22907243,1306285,1304590,1326686,"{'reference': {'label': '60', 'title': {'title': 'MadAnalysis 5 implementation of ATLAS-SUSY-2013-11: di-leptons plus MET'}, 'dois': ['10.7484/INSPIREHEP.DATA.HLMR.T56W.2'], 'authors': [{'full_name': 'Dumont, B.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1304590'}, 'legacy_curated': True, 'recid': 1304590}"
23107413,1345039,0,1253646,"{'reference': {'label': '43', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → γ γ.'], 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'legacy_curated': True}"
23107414,1345039,0,1253647,"{'reference': {'label': '44', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → Z Z∗ → 4l'], 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}, 'legacy_curated': True}"
23107415,1345039,0,1253648,"{'reference': {'label': '45', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from Figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → W W∗ → lνlν.'], 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}, 'legacy_curated': True}"
23285654,1334655,0,1391415,"{'reference': {'urls': [{'value': 'http://dx.doi.org/'}], 'misc': ['Brewer, triangle.py v0.1.1'], 'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}, {'full_name': 'Emily'}, {'full_name': 'Smith, M.'}, {'full_name': 'Barbary, K.'}, {'full_name': 'D.W. Hogg, B.J.'}]}}"
23285655,1334655,0,1391415,{'reference': {'dois': ['10.5281/zenodo.11020']}}
23377865,1292465,0,1391415,"{'reference': {'title': {'title': 'triangle.py v0.1.1'}, 'misc': ['Dan Foreman-Mackey, Adrian Price-Whelan, Geoffrey Ryan, Emily, Michael Smith, Kyle Barbary'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Hogg, David W.'}, {'full_name': 'Brewer, Brendon J.'}], 'label': '29', 'dois': ['10.5281/zenodo.11020']}}"
23437253,1385924,0,1391413,"{'reference': {'misc': ['2015, SuperFreq 3.4'], 'dois': ['10.5281/zenodo.18787'], 'authors': [{'full_name': 'Price-Whelan, A.M.'}]}}"
24426394,1338395,0,1391418,"{'reference': {'label': '14', 'dois': ['10.5281/zenodo.13302'], 'authors': [{'full_name': 'A, Jackson'}, {'full_name': 'URL, Kanaki K.'}]}}"
24463945,1365046,0,1391415,"{'reference': {'label': '47', 'misc': ['Brewer, triangle.py v0.1.1doi:'], 'dois': ['10.5281/zenodo.11020'], 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}, {'full_name': 'Emily'}, {'full_name': 'Smith, M.'}, {'full_name': 'Barbary, K.'}, {'full_name': 'D. W. Hogg, B.J.'}]}}"
24530079,1305424,0,1391421,"{'reference': {'misc': ['Collaboration. Zenodo, Jul. URL'], 'dois': ['10.5281/zenodo.10777'], 'publication_info': {'year': 2014}}}"
24549744,1318924,0,1391415,"{'reference': {'label': '87', 'misc': ['triangle.py, URL'], 'dois': ['10.5281/zenodo.11020'], 'authors': [{'full_name': 'Foreman-Mackay, D.'}]}}"
24627499,1374648,0,1391419,"{'reference': {'title': {'title': 'bssim: bssim-v2.0'}, 'misc': ['Online. Available:'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Basaglia, T.'}], 'label': '31', 'dois': ['10.5281/zenodo.18169']}}"
25581861,1394175,0,1399459,"{'reference': {'label': '66', 'title': {'title': 'asqtad.en06a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en06a/1178158'], 'publication_info': {'year': 2015}}}"
25581862,1394175,0,1399431,"{'reference': {'label': '67', 'title': {'title': 'asqtad.en06b'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en06b/1178159'], 'publication_info': {'year': 2015}}}"
25581863,1394175,0,1399440,"{'reference': {'label': '68', 'title': {'title': 'asqtad.en05a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en05a/1178156'], 'publication_info': {'year': 2015}}}"
25581864,1394175,0,1399438,"{'reference': {'label': '69', 'title': {'title': 'asqtad.en04a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en04a/1178155'], 'publication_info': {'year': 2015}}}"
25581865,1394175,0,1399443,"{'reference': {'label': '70', 'title': {'title': 'asqtad.en15a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en15a/1178095'], 'publication_info': {'year': 2015}}}"
25581866,1394175,0,1399445,"{'reference': {'label': '71', 'title': {'title': 'asqtad.en15b'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en15b/1178096'], 'publication_info': {'year': 2015}}}"
25581867,1394175,0,1399453,"{'reference': {'label': '72', 'title': {'title': 'asqtad.en15c'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en15c/1178097'], 'publication_info': {'year': 2015}}}"
25581868,1394175,0,1399450,"{'reference': {'label': '73', 'title': {'title': 'asqtad.en14a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en14a/1178094'], 'publication_info': {'year': 2015}}}"
25581869,1394175,0,1399430,"{'reference': {'label': '74', 'title': {'title': 'asqtad.en13a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en13a/1178092'], 'publication_info': {'year': 2015}}}"
25581870,1394175,0,1399427,"{'reference': {'label': '75', 'title': {'title': 'asqtad.en13b'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en13b/1178093'], 'publication_info': {'year': 2015}}}"
25581871,1394175,0,1399457,"{'reference': {'label': '76', 'title': {'title': 'asqtad.en12a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en12a/1178091'], 'publication_info': {'year': 2015}}}"
25581872,1394175,0,1399446,"{'reference': {'label': '77', 'title': {'title': 'asqtad.en20a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en20a/1178036'], 'publication_info': {'year': 2015}}}"
25581873,1394175,0,1399444,"{'reference': {'label': '78', 'title': {'title': 'asqtad.en20b'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en20b/1178037'], 'publication_info': {'year': 2015}}}"
25581874,1394175,0,1399448,"{'reference': {'label': '79', 'title': {'title': 'asqtad.en18a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en18a/1178033'], 'publication_info': {'year': 2015}}}"
25581875,1394175,0,1399454,"{'reference': {'label': '80', 'title': {'title': 'asqtad.en18b'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en18b/1178034'], 'publication_info': {'year': 2015}}}"
25581876,1394175,0,1364957,"{'reference': {'label': '81', 'title': {'title': 'asqtad.en24a'}, 'misc': ['MILC Collaboration'], 'dois': ['10.15484/milc.asqtad.en24a/1177873'], 'publication_info': {'year': 2015}}}"
25995197,1517201,1304459,1388797,"{'reference': {'label': '98', 'dois': ['10.7484/INSPIREHEP.DATA.RB33.M3CD'], 'publication_info': {'journal_title': 'Phys.Rev.D', 'year': 2015, 'journal_volume': '90', 'artid': '052008'}, 'authors': [{'full_name': 'Sengupta, D.'}, {'full_name': 'Chalons, G.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1304459'}, 'recid': 1304459}"
28258062,1591972,0,1328897,"{'reference': {'label': '76', 'collaborations': ['CMS Collaboration'], 'misc': ['Jet primary dataset in AOD format from RunB of 2010 /Jet/Run2010B-Apr21ReReco-v1/AOD, CERN Open Data Portal DOI:'], 'dois': ['10.7483/OPENDATA.CMS.3S7F.2E9W'], 'publication_info': {'year': 2014}}}"
28655768,1625297,0,1328895,"{'raw_refs': [{'value': '[2] CMS Collaboration 2014 MinimumBias primary dataset in AOD format from RunB of 2010 (/MinimumBias/Run2010B-Apr21ReReco-v1/AOD) , http://doi.org/10.7483/OPENDATA.CMS.6BPY.XFRQ: http://doi.org/10.7483/OPENDATA.CMS.6BPY.XFRQ', 'schema': 'text'}], 'reference': {'label': '2', 'dois': ['10.7483/OPENDATA.CMS.6BPY.XFRQ']}}"
28655770,1625297,0,1328889,"{'raw_refs': [{'value': '[3] CMS Collaboration 2014 Mu primary dataset in AOD format from RunB of 2010 (/Mu/Run2010B-Apr21ReReco-v1/AOD) , http://doi.org/10.7483/OPENDATA.CMS.B8MR.C4A2: http://doi.org/10.7483/OPENDATA.CMS.B8MR.C4A2', 'schema': 'text'}], 'reference': {'label': '3', 'dois': ['10.7483/OPENDATA.CMS.B8MR.C4A2']}}"
