recID,Citation_Difference,Legacy_Count,Labs_Count
796887,267.0,4968,5235
779080,205.0,4991,5196
568636,189.0,4,193
712925,186.0,9280,9466
10349,167.0,12,179
593382,157.0,8743,8900
919443,119.0,984,1103
925379,117.0,1160,1277
861954,104.0,611,715
912611,98.0,2587,2685
925292,92.0,420,512
458285,82.0,1,83
581996,80.0,5565,5645
782984,74.0,78,152
47434,71.0,4,75
925263,71.0,331,402
760769,69.0,2194,2263
599622,64.0,2056,2120
494953,64.0,1522,1586
715388,63.0,1956,2019
1481950,63.0,267,330
714768,61.0,123,184
1118729,61.0,773,834
861245,59.0,2333,2392
117791,54.0,37,91
1203133,54.0,774,828
745205,53.0,53,106
753279,53.0,1636,1689
49651,51.0,5,56
873443,49.0,293,342
659055,49.0,1729,1778
845712,48.0,1751,1799
700668,48.0,1614,1662
755413,48.0,942,990
883196,47.0,842,889
881087,45.0,336,381
925285,43.0,224,267
664088,43.0,1,44
1196797,43.0,596,639
1955,43.0,14,57
1124338,42.0,7992,8034
764903,41.0,3648,3689
779079,40.0,606,646
1443459,39.0,1,40
1124337,38.0,8171,8209
1239777,37.0,71,108
778591,37.0,1817,1854
919737,34.0,329,363
116448,33.0,30,63
530594,33.0,17,50
500562,33.0,408,441
875948,32.0,6053,6085
120483,32.0,121,153
514748,32.0,2,34
320593,32.0,1,33
1192040,32.0,99,131
925318,31.0,556,587
254790,31.0,43,74
945838,31.0,47,78
602070,31.0,3,34
925299,30.0,216,246
925288,30.0,150,180
810127,30.0,4086,4116
47536,28.0,57,85
925951,28.0,15,43
448501,28.0,1,29
523596,28.0,101,129
562718,28.0,22,50
593054,27.0,1136,1163
877524,27.0,601,628
924856,27.0,75,102
68140,26.0,35,61
925262,26.0,116,142
662155,26.0,2,28
598398,25.0,36,61
955176,25.0,2162,2187
1188769,25.0,11,36
1260703,25.0,232,257
897881,25.0,796,821
156267,25.0,173,198
431039,24.0,2,26
1260598,24.0,18,42
20564,24.0,2,26
68889,24.0,13,37
861153,24.0,230,254
175664,23.0,103,126
883198,23.0,388,411
1197996,23.0,24,47
481861,23.0,1,24
916908,23.0,236,259
883745,23.0,466,489
915810,23.0,273,296
925604,23.0,13,36
929904,23.0,219,242
318716,22.0,11,33
63532,22.0,48,70
326391,22.0,1,23
766874,22.0,26,48
1439970,21.0,1,22
858393,21.0,12,33
585687,21.0,2452,2473
602346,21.0,1,22
725573,21.0,805,826
925284,21.0,143,164
268735,20.0,7,27
1124213,20.0,17,37
50049,20.0,884,904
390839,19.0,701,720
925294,19.0,99,118
537586,19.0,3119,3138
1118175,19.0,388,407
883176,18.0,1349,1367
386786,18.0,621,639
856220,18.0,676,694
807413,18.0,41,59
913987,18.0,1,19
601228,18.0,203,221
551744,18.0,119,137
199221,18.0,461,479
1631706,18.0,3,21
129457,17.0,516,533
648609,17.0,69,86
1090139,17.0,18,35
108516,17.0,2039,2056
537385,17.0,173,190
1105125,17.0,14,31
533869,16.0,111,127
925179,16.0,61,77
782806,16.0,16,32
843998,16.0,614,630
428544,16.0,26,42
846542,16.0,479,495
736752,16.0,1,17
925212,16.0,92,108
374574,16.0,844,860
1191934,16.0,54,70
726169,15.0,181,196
31475,15.0,650,665
409462,15.0,5,20
1094112,15.0,10,25
1207757,15.0,5,20
782784,15.0,30,45
821641,15.0,393,408
32868,15.0,507,522
1260674,15.0,117,132
146994,15.0,22,37
1462572,15.0,37,52
428434,15.0,60,75
577170,15.0,6,21
425547,15.0,540,555
925312,15.0,69,84
928119,15.0,13,28
1336200,15.0,16,31
872462,14.0,1,15
92122,14.0,2773,2787
62977,14.0,5,19
361118,14.0,753,767
901829,14.0,174,188
898616,14.0,454,468
207866,14.0,2091,2105
1084735,14.0,10,24
91463,14.0,482,496
95696,14.0,82,96
1603678,14.0,43,57
664063,14.0,5,19
1084110,14.0,2,16
