recID,Citation_Difference,Legacy_Count,Labs_Count
299778,-1148.0,1405,257
50008,-1100.0,1577,477
181166,-901.0,1644,743
1390184,-856.0,863,7
87997,-713.0,846,133
54961,-571.0,599,28
279039,-470.0,772,302
673262,-390.0,438,48
9113,-344.0,1414,1070
656250,-334.0,489,155
640063,-311.0,368,57
706151,-308.0,321,13
618647,-301.0,314,13
345963,-289.0,294,5
487241,-275.0,291,16
487240,-275.0,296,21
652597,-274.0,1592,1318
391003,-265.0,292,27
47300,-260.0,263,3
61163,-254.0,259,5
250488,-244.0,251,7
1591665,-238.0,289,51
533080,-232.0,273,41
406190,-231.0,254,23
752478,-229.0,235,6
794379,-220.0,275,55
642815,-215.0,219,4
673261,-211.0,252,41
357130,-209.0,249,40
810300,-203.0,2022,1819
619666,-197.0,242,45
1252132,-195.0,199,4
1241571,-190.0,1035,845
215204,-189.0,193,4
252419,-189.0,200,11
650093,-187.0,309,122
716060,-186.0,188,2
205394,-186.0,573,387
922696,-181.0,292,111
209356,-178.0,326,148
806976,-178.0,294,116
488774,-175.0,213,38
554662,-173.0,177,4
430948,-172.0,189,17
554664,-172.0,173,1
1359496,-171.0,173,2
1223326,-171.0,500,329
561191,-169.0,412,243
306864,-169.0,200,31
660150,-160.0,163,3
559272,-155.0,1190,1035
863473,-155.0,1164,1009
627130,-154.0,188,34
483505,-149.0,184,35
712900,-148.0,189,41
1120339,-147.0,233,86
198204,-144.0,152,8
242360,-142.0,154,12
747694,-141.0,207,66
504896,-138.0,199,61
407703,-136.0,1093,957
83793,-133.0,139,6
738588,-126.0,132,6
842952,-125.0,153,28
1614063,-121.0,122,1
895273,-119.0,138,19
328604,-119.0,536,417
628449,-116.0,192,76
95654,-116.0,320,204
480267,-114.0,250,136
522621,-114.0,129,15
64144,-112.0,113,1
134047,-110.0,116,6
647812,-110.0,119,9
744404,-109.0,115,6
536966,-109.0,110,1
362224,-109.0,155,46
408164,-103.0,114,11
841474,-102.0,124,22
744401,-99.0,120,21
1648587,-97.0,111,14
127083,-96.0,97,1
1204463,-95.0,167,72
1410180,-94.0,141,47
680422,-92.0,96,4
728103,-92.0,100,8
480141,-92.0,94,2
49131,-91.0,122,31
394902,-90.0,272,182
158103,-89.0,112,23
286838,-85.0,113,28
775909,-84.0,87,3
739783,-84.0,96,12
621602,-84.0,163,79
318793,-83.0,84,1
864598,-83.0,91,8
14621,-82.0,635,553
840234,-82.0,86,4
576703,-82.0,121,39
255378,-81.0,113,32
363993,-80.0,82,2
224457,-80.0,305,225
378182,-80.0,84,4
142814,-79.0,116,37
143636,-79.0,160,81
1362558,-78.0,87,9
323792,-77.0,88,11
158963,-76.0,87,11
119780,-75.0,84,9
285601,-75.0,108,33
943926,-75.0,78,3
541257,-73.0,97,24
487562,-73.0,95,22
145532,-73.0,84,11
91800,-72.0,190,118
782208,-72.0,82,10
290037,-71.0,87,16
1281184,-71.0,93,22
195708,-70.0,146,76
430034,-70.0,83,13
554661,-69.0,133,64
1240419,-69.0,341,272
502462,-69.0,85,16
633051,-67.0,162,95
901039,-67.0,78,11
1235601,-66.0,67,1
1382689,-65.0,69,4
766657,-64.0,69,5
586186,-64.0,196,132
198295,-64.0,129,65
740173,-63.0,151,88
233326,-63.0,101,38
682442,-63.0,66,3
195126,-63.0,683,620
158768,-61.0,168,107
603430,-61.0,67,6
835777,-61.0,160,99
527189,-61.0,78,17
1359498,-60.0,77,17
238378,-60.0,62,2
1488080,-60.0,62,2
871323,-59.0,175,116
809173,-59.0,63,4
656912,-59.0,249,190
622491,-58.0,93,35
807025,-58.0,59,1
403578,-58.0,60,2
340705,-58.0,250,192
800171,-58.0,64,6
809169,-58.0,59,1
740534,-58.0,60,2
809067,-57.0,59,2
492301,-56.0,124,68
646401,-55.0,73,18
644038,-55.0,61,6
1240098,-55.0,596,541
734789,-54.0,133,79
589258,-53.0,71,18
807304,-53.0,79,26
787525,-53.0,195,142
841572,-53.0,156,103
8885,-53.0,88,35
11695,-53.0,58,5
1614059,-53.0,143,90
682849,-52.0,205,153
662151,-52.0,124,72
735550,-52.0,65,13
1090842,-52.0,270,218
343530,-52.0,59,7
255673,-52.0,85,33
570842,-52.0,86,34
152556,-51.0,82,31
276540,-50.0,52,2
195716,-50.0,90,40
823437,-49.0,53,4
359261,-49.0,57,8
44817,-49.0,231,182
1388336,-49.0,53,4
400377,-48.0,51,3
37882,-48.0,63,15
644105,-48.0,146,98
708120,-48.0,162,114
1591103,-48.0,55,7
691249,-48.0,99,51
1343079,-47.0,4996,4949
159194,-47.0,324,277
591376,-47.0,89,42
653542,-47.0,48,1
666911,-47.0,829,782
647003,-46.0,65,19
639628,-46.0,47,1
135656,-46.0,56,10
111507,-46.0,49,3
604987,-45.0,110,65
6792,-45.0,77,32
1390077,-45.0,191,146
341123,-45.0,50,5
696373,-45.0,53,8
875992,-45.0,105,60
589372,-45.0,57,12
130808,-44.0,55,11
136230,-44.0,64,20
660149,-44.0,73,29
58985,-44.0,48,4
357890,-43.0,62,19
546407,-43.0,46,3
1359688,-43.0,46,3
1395734,-43.0,63,20
768483,-43.0,57,14
443057,-43.0,65,22
588021,-43.0,58,15
269218,-42.0,47,5
208504,-42.0,45,3
51345,-42.0,2831,2789
1233495,-42.0,303,261
53083,-42.0,3667,3625
131621,-41.0,102,61
839959,-41.0,156,115
290343,-41.0,48,7
502268,-41.0,57,16
571259,-41.0,54,13
17148,-40.0,65,25
892576,-40.0,69,29
764488,-39.0,165,126
454643,-39.0,111,72
59407,-39.0,41,2
180803,-39.0,63,24
195127,-38.0,48,10
690446,-38.0,41,3
536012,-38.0,48,10
45517,-38.0,158,120
1107700,-38.0,69,31
709178,-38.0,74,36
700859,-38.0,43,5
785998,-38.0,50,12
701586,-38.0,116,78
508054,-37.0,43,6
776408,-37.0,39,2
602693,-37.0,39,2
1395736,-37.0,55,18
335731,-36.0,49,13
844535,-36.0,76,40
538478,-36.0,384,348
868078,-36.0,79,43
700866,-36.0,43,7
690839,-36.0,74,38
184231,-35.0,160,125
711538,-35.0,49,14
130188,-35.0,78,43
655753,-35.0,41,6
1435320,-35.0,142,107
529613,-35.0,750,715
1264209,-35.0,36,1
287536,-35.0,38,3
846915,-35.0,39,4
