,recID,oldRef,newRef,metaData
38271,339546,339546,339546,"{'record': {'$ref': 'http://localhost:5000/api/literature/339546'}, 'reference': {'publication_info': {'page_start': '153', 'journal_title': 'Phys.Lett.A', 'journal_volume': '166', 'artid': '153'}}, 'recid': 339546, 'curated_relation': False}"
43793,611432,611432,611432,"{'record': {'$ref': 'http://localhost:5000/api/literature/611432'}, 'reference': {'arxiv_eprint': 'hep-th/0301061', 'publication_info': {'page_start': '329', 'journal_title': 'Ukr.J.Phys.', 'journal_volume': '48', 'artid': '329'}}, 'recid': 611432, 'curated_relation': False}"
54039,610836,610836,610836,"{'record': {'$ref': 'http://localhost:5000/api/literature/610836'}, 'reference': {'arxiv_eprint': 'math-ph/0211076', 'publication_info': {'journal_title': 'J.Math.Phys.', 'journal_volume': '49', 'artid': '062903'}}, 'recid': 610836, 'curated_relation': False}"
67495,618795,618795,618795,"{'record': {'$ref': 'http://localhost:5000/api/literature/618795'}, 'reference': {'arxiv_eprint': 'hep-ph/0305158', 'publication_info': {'page_start': '1787', 'journal_title': 'Int.J.Mod.Phys.D', 'journal_volume': '12', 'artid': '1787'}}, 'recid': 618795, 'curated_relation': False}"
68357,628736,628736,628736,"{'record': {'$ref': 'http://localhost:5000/api/literature/628736'}, 'reference': {'arxiv_eprint': 'astro-ph/0309593', 'publication_info': {'page_start': '059', 'journal_title': 'JHEP', 'year': '2003', 'journal_volume': '10', 'artid': '059'}}, 'recid': 628736, 'curated_relation': False}"
71560,629999,629999,629999,"{'record': {'$ref': 'http://localhost:5000/api/literature/629999'}, 'reference': {'arxiv_eprint': 'gr-qc/0310037'}, 'recid': 629999, 'curated_relation': False}"
81294,230526,230526,230526,"{'record': {'$ref': 'http://localhost:5000/api/literature/230526'}, 'reference': {'publication_info': {'page_start': '591', 'journal_title': 'Nucl.Phys.A', 'journal_volume': '453', 'artid': '591'}}, 'recid': 230526, 'curated_relation': False}"
133173,339903,339903,339903,"{'record': {'$ref': 'http://localhost:5000/api/literature/339903'}, 'reference': {'publication_info': {'page_start': '620', 'journal_title': 'Phys.Rev.D', 'journal_volume': '46', 'artid': '620'}}, 'recid': 339903, 'curated_relation': False}"
147911,383071,383071,383071,"{'record': {'$ref': 'http://localhost:5000/api/literature/383071'}, 'reference': {'publication_info': {'page_start': '639', 'journal_title': 'Z.Phys.C', 'journal_volume': '62', 'artid': '639'}}, 'recid': 383071, 'curated_relation': False}"
154806,634926,634926,634926,"{'record': {'$ref': 'http://localhost:5000/api/literature/634926'}, 'reference': {'arxiv_eprint': 'astro-ph/0312206'}, 'recid': 634926, 'curated_relation': False}"
